strategy_name,n_ants,n_iters,n_nodes,n_edges,time_ACO,time_BF,speedup,tested_path_ACO,tested_path_BF,cost_ACO,random_graph,fully_connected,iterations
Basic ACO,8,100,8,80,0.042 ± 0.002,0.015 ± 0.003,0.346 ± 0.053,800,5040.000 ± 0.000,15.000 ± 0.000,,False,True,10
EAS,8,100,8,80,0.045 ± 0.004,0.015 ± 0.001,0.334 ± 0.037,800,5040.000 ± 0.000,15.000 ± 0.000,,False,True,10
Rank,8,100,8,80,0.041 ± 0.003,0.014 ± 0.000,0.331 ± 0.025,800,5040.000 ± 0.000,15.000 ± 0.000,,False,True,10
MMAS,8,100,8,80,0.041 ± 0.002,0.014 ± 0.001,0.341 ± 0.020,800,5040.000 ± 0.000,15.000 ± 0.000,,False,True,10
BWAS,8,100,8,80,0.043 ± 0.004,0.014 ± 0.001,0.336 ± 0.026,800,5040.000 ± 0.000,15.000 ± 0.000,,False,True,10
Basic ACO,8,100,8,80,0.049 ± 0.011,0.015 ± 0.001,0.317 ± 0.051,800,5040.000 ± 0.000,15.000 ± 0.000,,False,True,10
EAS,8,100,8,80,0.042 ± 0.001,0.014 ± 0.000,0.328 ± 0.010,800,5040.000 ± 0.000,15.000 ± 0.000,,False,True,10
Rank,8,100,8,80,0.048 ± 0.012,0.016 ± 0.003,0.349 ± 0.094,800,5040.000 ± 0.000,15.000 ± 0.000,,False,True,10
MMAS,8,100,8,80,0.039 ± 0.000,0.013 ± 0.000,0.341 ± 0.005,800,5040.000 ± 0.000,15.000 ± 0.000,,False,True,10
BWAS,8,100,8,80,0.040 ± 0.000,0.014 ± 0.000,0.337 ± 0.006,800,5040.000 ± 0.000,15.000 ± 0.000,,False,True,10
Basic ACO,8,100,8,80,0.044 ± 0.003,0.015 ± 0.001,0.334 ± 0.025,800,5040.000 ± 0.000,15.000 ± 0.000,,False,True,10
EAS,8,100,8,80,0.043 ± 0.003,0.015 ± 0.002,0.337 ± 0.027,800,5040.000 ± 0.000,15.000 ± 0.000,,False,True,10
Rank,8,100,8,80,0.043 ± 0.003,0.015 ± 0.001,0.340 ± 0.009,800,5040.000 ± 0.000,15.000 ± 0.000,,False,True,10
MMAS,8,100,8,80,0.043 ± 0.005,0.014 ± 0.001,0.334 ± 0.025,800,5040.000 ± 0.000,15.000 ± 0.000,,False,True,10
BWAS,8,100,8,80,0.041 ± 0.003,0.014 ± 0.000,0.335 ± 0.020,800,5040.000 ± 0.000,15.000 ± 0.000,,False,True,10
Basic ACO,8,100,8,80,0.046 ± 0.010,0.014 ± 0.001,0.320 ± 0.027,800,5040.000 ± 0.000,15.000 ± 0.000,,False,True,10
EAS,8,100,8,80,0.044 ± 0.004,0.014 ± 0.001,0.325 ± 0.023,800,5040.000 ± 0.000,15.000 ± 0.000,,False,True,10
Rank,8,100,8,80,0.043 ± 0.006,0.014 ± 0.000,0.332 ± 0.036,800,5040.000 ± 0.000,15.000 ± 0.000,,False,True,10
MMAS,8,100,8,80,0.041 ± 0.003,0.014 ± 0.001,0.343 ± 0.009,800,5040.000 ± 0.000,15.000 ± 0.000,,False,True,10
BWAS,8,100,8,80,0.041 ± 0.003,0.014 ± 0.001,0.334 ± 0.020,800,5040.000 ± 0.000,15.000 ± 0.000,,False,True,10
Basic ACO,8,100,8,80,0.047 ± 0.005,0.019 ± 0.016,0.415 ± 0.351,800,5040.000 ± 0.000,15.000 ± 0.000,,False,True,10
EAS,8,100,8,80,0.043 ± 0.003,0.015 ± 0.001,0.340 ± 0.022,800,5040.000 ± 0.000,15.000 ± 0.000,,False,True,10
Rank,8,100,8,80,0.047 ± 0.009,0.016 ± 0.005,0.345 ± 0.101,800,5040.000 ± 0.000,15.000 ± 0.000,,False,True,10
MMAS,8,100,8,80,0.041 ± 0.003,0.014 ± 0.001,0.340 ± 0.022,800,5040.000 ± 0.000,15.000 ± 0.000,,False,True,10
BWAS,8,100,8,80,0.041 ± 0.002,0.017 ± 0.010,0.418 ± 0.262,800,5040.000 ± 0.000,15.000 ± 0.000,,False,True,10
Basic ACO,8,100,13,70,0.123 ± nan,1543.443 ± nan,12517.080 ± nan,800,479001600.000 ± nan,17.000 ± nan,,False,True,1
EAS,8,100,13,70,0.102 ± nan,1573.187 ± nan,15417.532 ± nan,800,479001600.000 ± nan,20.000 ± nan,,False,True,1
Rank,8,100,13,70,0.101 ± nan,1536.157 ± nan,15187.095 ± nan,800,479001600.000 ± nan,19.000 ± nan,,False,True,1
MMAS,8,100,13,70,0.086 ± nan,1556.414 ± nan,18024.887 ± nan,800,479001600.000 ± nan,19.000 ± nan,,False,True,1
BWAS,8,100,13,70,0.097 ± nan,1478.111 ± nan,15245.657 ± nan,800,479001600.000 ± nan,19.000 ± nan,,False,True,1
Basic ACO,4,4,8,80,0.001 ± 0.000,0.018 ± 0.010,16.472 ± 11.550,16,5040.000 ± 0.000,16.000 ± 0.000,,False,True,10
Basic ACO,4,4,8,80,0.001 ± 0.000,0.015 ± 0.003,12.459 ± 1.829,16,5040.000 ± 0.000,16.000 ± 0.000,,False,True,10
Basic ACO,4,4,8,80,0.001 ± 0.000,0.014 ± 0.001,13.947 ± 1.762,16,5040.000 ± 0.000,16.000 ± 0.000,,False,True,10
EAS,8,100,13,70,0.093 ± nan,1598.128 ± nan,17174.765 ± nan,800,479001600.000 ± nan,18.000 ± nan,,False,True,1
Rank,8,100,13,70,0.096 ± nan,1952.892 ± nan,20246.897 ± nan,800,479001600.000 ± nan,19.000 ± nan,,False,True,1
